record_uid,site_id,geographic_region,site_type,site_type_label,date_collected,survey_year,latitude,longitude,depth_m_abs,coral_reef_present,pavement_present,rhodolith_present,sand_present,hard_coral_present,soft_coral_present,macroalgae_present,sponge_present,seagrass_present,artificial_present,unknown_present,qa_status,qa_reason,url_link
REC0020,AA2017_020,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.16063288,-65.2100431,36.35,1,0,0,1,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_020.mp4
REC0021,AA2017_021,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.16820145,-65.21295281,40.243,1,0,0,1,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_021.mp4
REC0022,AA2017_022,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.14665783,-65.21178554,40.462,0,1,0,0,1,1,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_022.mp4
REC0023,AA2017_023,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.15387659,-65.21408723,41.553,1,1,0,1,1,0,0,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_023.mp4
REC0024,AA2017_024,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.17321425,-65.2068613,41.386,1,0,0,1,1,1,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_024.mp4
REC0025,AA2017_025,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.18813012,-65.20450272,38.604,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_025.mp4
REC0026,AA2017_026,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.16114056,-65.20418432,38.016,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_026.mp4
REC0027,AA2017_027,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.13804503,-65.20090996,36.54,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_027.mp4
REC0028,AA2017_028,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.12758263,-65.19982359,22.789,0,1,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_028.mp4
REC0029,AA2017_029,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.21135747,-65.19971961,30.552,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_029.mp4
REC0030,AA2017_030,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.18254328,-65.19946476,37.844,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_030.mp4
REC0031,AA2017_031,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.16622558,-65.19681254,37.52,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_031.mp4
REC0032,AA2017_032,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.2035708,-65.19512509,34.316,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_032.mp4
REC0033,AA2017_033,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.14304863,-65.19555248,37.724,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_033.mp4
REC0034,AA2017_034,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.17551078,-65.19412366,41.514,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_034.mp4
REC0035,AA2017_035,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.20793029,-65.19179996,30.818,1,0,0,0,1,1,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_035.mp4
REC0036,AA2017_036,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.14178459,-65.1924405,41.169,1,0,0,1,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_036.mp4
REC0037,AA2017_037,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.22329415,-65.19425565,26.991,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_037.mp4
REC0038,AA2017_038,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.19390382,-65.18999967,35.85,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_038.mp4
REC0039,AA2017_040,Puerto Rico,AA,Accuracy Assessment,2017-01-31,2017,18.13674675,-65.18710941,47.238,1,0,1,0,1,0,0,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_040.mp4
REC0040,AA2017_041,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.20404056,-65.18761895,33.59,1,0,0,0,1,1,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_041.mp4
REC0041,AA2017_042,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.18100293,-65.18662921,38.432,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_042.mp4
REC0042,AA2017_043,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.16889562,-65.18605764,37.374,1,0,0,0,1,1,0,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_043.mp4
REC0043,AA2017_044,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.19662479,-65.18281047,34.591,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_044.mp4
REC0044,AA2017_045,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.21212612,-65.18255946,41.116,0,0,0,1,0,0,0,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_045.mp4
REC0045,AA2017_047,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.2082291,-65.18130476,34.619,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_047.mp4
REC0046,AA2017_048,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.17996355,-65.17839068,39.449,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_048.mp4
REC0047,AA2017_049,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.16743751,-65.17738314,43.41,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_049.mp4
REC0048,AA2017_050,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.23036214,-65.17726519,32.362,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_050.mp4
REC0049,AA2017_051,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.19917464,-65.17617978,41.791,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_051.mp4
REC0050,AA2017_052,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.20793334,-65.17472332,37.985,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_052.mp4
REC0051,AA2017_053,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.18482781,-65.17350963,38.258,1,0,0,0,1,1,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_053.mp4
REC0052,AA2017_054,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.20959388,-65.17091066,36.999,1,0,0,1,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_054.mp4
REC0053,AA2017_055,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.22181874,-65.17008645,38.068,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_055.mp4
REC0054,AA2017_057,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.18200846,-65.16211936,40.249,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_057.mp4
REC0055,AA2017_058,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.1708677,-65.15965372,47.062,1,0,1,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_058.mp4
REC0056,AA2017_059,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.24087282,-65.16122472,34.464,1,0,0,1,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_059.mp4
REC0057,AA2017_060,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.21632465,-65.16004563,35.281,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_060.mp4
REC0058,AA2017_061,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.17427942,-65.15899631,45.291,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_061.mp4
REC0059,AA2017_062,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.19540323,-65.1575891,42.379,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_062.mp4
REC0060,AA2017_063,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.22752069,-65.15711627,36.009,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_063.mp4
REC0061,AA2017_064,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.17256266,-65.15258379,45.064,1,0,0,1,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_064.mp4
REC0062,AA2017_065,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.20996105,-65.15200011,39.132,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_065.mp4
REC0063,AA2017_066,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.18110965,-65.15141448,45.295,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_066.mp4
REC0064,AA2017_067,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.22907836,-65.15181224,37.133,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_067.mp4
REC0065,AA2017_068,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.18648988,-65.14970653,37.24,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_068.mp4
REC0066,AA2017_069,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.17389589,-65.14510105,41.47,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_069.mp4
REC0067,AA2017_071,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.17965653,-65.14406848,44.996,1,0,0,1,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_071.mp4
REC0068,AA2017_072,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.2109251,-65.14325,40.938,0,1,1,1,0,0,0,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_072.mp4
REC0069,AA2017_073,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.23199146,-65.14203332,31.506,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_073.mp4
REC0070,AA2017_074,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.21569861,-65.14057967,40.628,1,0,0,1,1,0,0,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_074.mp4
REC0071,AA2017_075,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.17862086,-65.13925064,38.209,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_075.mp4
REC0072,AA2017_076,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.18439393,-65.13745294,42.955,1,0,0,1,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_076.mp4
REC0073,AA2017_077,Puerto Rico,AA,Accuracy Assessment,2017-02-02,2017,18.21231408,-65.13668855,40.987,0,0,0,1,0,0,0,0,0,1,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_077.mp4
REC0074,AA2017_078,Puerto Rico,AA,Accuracy Assessment,2017-02-01,2017,18.19999502,-65.13899578,38.055,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_078.mp4
REC0075,AA2017_079,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-02,2017,18.27075461,-65.1334338,32.217,1,0,0,1,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_079.mp4
REC0076,AA2017_080,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-02,2017,18.28241923,-65.13127599,24.998,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_080.mp4
REC0077,AA2017_081,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-01,2017,18.19996528,-65.13053616,41.145,1,0,0,1,1,0,0,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_081.mp4
REC0078,AA2017_082,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-01,2017,18.21665292,-65.12950517,40.695,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_082.mp4
REC0079,AA2017_083,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.18446156,-65.12445317,42.912,1,0,0,1,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_083.mp4
REC0080,AA2017_084,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-01,2017,18.21978329,-65.1217625,40.186,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_084.mp4
REC0081,AA2017_085,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.18962653,-65.12108076,41.828,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_085.mp4
REC0082,AA2017_086,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.21311505,-65.11656772,33.715,1,0,0,0,1,1,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_086.mp4
REC0083,AA2017_087,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-02,2017,18.28502707,-65.116795,24.3,1,0,0,1,1,1,0,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_087.mp4
REC0084,AA2017_088,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-03,2017,18.27355888,-65.11730895,27.25,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_088.mp4
REC0085,AA2017_089,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.20683532,-65.11356789,34.89,1,0,0,0,1,0,0,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_089.mp4
REC0086,AA2017_090,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.17674995,-65.110089,48.074,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_090.mp4
REC0087,AA2017_091,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.1803757,-65.11029608,36.521,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_091.mp4
REC0088,AA2017_092,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.21295014,-65.11665239,33.555,1,0,0,0,1,1,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_092.mp4
REC0089,AA2017_093,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.20999649,-65.1098927,41.528,1,0,0,1,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_093.mp4
REC0090,AA2017_094,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-03,2017,18.27087506,-65.11008525,27.765,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_094.mp4
REC0091,AA2017_095,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-03,2017,18.28015716,-65.11196698,27.719,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_095.mp4
REC0092,AA2017_096,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-03,2017,18.25200238,-65.10937592,28.689,1,0,0,0,1,1,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_096.mp4
REC0093,AA2017_097,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.19771418,-65.10589302,42.145,1,0,0,1,1,0,0,0,0,1,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_097.mp4
REC0094,AA2017_098,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-01,2017,18.22760658,-65.10645544,32.964,1,0,0,0,1,0,1,1,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_098.mp4
REC0095,AA2017_099,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.2169791,-65.10596377,39.533,1,0,0,0,1,0,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_099.mp4
REC0096,AA2017_101,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.20973483,-65.10310859,35.928,1,0,0,0,1,1,1,0,0,1,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_101.mp4
REC0097,AA2017_102,"St. Thomas, USVI",AA,Accuracy Assessment,2017-01-30,2017,18.19958924,-65.10184702,41.907,1,0,0,1,1,0,0,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_102.mp4
REC0098,AA2017_103,"St. Thomas, USVI",AA,Accuracy Assessment,2017-02-03,2017,18.25086352,-65.10199366,27.756,1,0,0,0,1,1,1,0,0,0,0,Pass,,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_103.mp4
